,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
3479,6.0962680884043845,1.2389109617180844e+16,9.16976443789995e+18,7.35853277259989e+16,3.163495262282725e+20,4.830489271830377e+17,1.6268499793789667e+17,1.1326428593490248e+17,8.799401138683078e+16,7.13620378916037e+16,5.392599707885434e+16,4.312808445539333e+16,3.3554633173094284e+16,2.6113364044463736e+16,3570223036821285.0,744183790225865.1,8211116161950277.0,136413371816583.28
3480,6.096267633956811,1.238911131396835e+16,9.169777823349513e+18,7.358532880768584e+16,3.163495195070969e+20,4.830489710617142e+17,1.6268499739985405e+17,1.1326428354082917e+17,8.79940086814584e+16,7.136203499560592e+16,5.39259947664312e+16,4.312808246357258e+16,3.355463145111118e+16,2.6113362612149516e+16,3570225570316034.5,744183711297898.0,8211115390223007.0,136413357868590.6
3481,6.0962671796282875,1.2389113010312194e+16,9.169791205302662e+18,7.35853298890955e+16,3.163495127876771e+20,4.830490149289069e+17,1.6268499686195024e+17,1.1326428114738048e+17,8.799400597679213e+16,7.136203210036417e+16,5.392599245461173e+16,4.312808047227179e+16,3.355462972957767e+16,2.611336118020927e+16,3570228103148736.0,744183632390569.8,8211114618697138.0,136413343924250.9
3482,6.0962667254187926,1.238911470621246e+16,9.16980458376005e+18,7.358533097022792e+16,3.1634950607001256e+20,4.83049058784618e+17,1.6268499632418525e+17,1.1326427875455629e+17,8.799400327283184e+16,7.136202920587831e+16,5.39259901433958e+16,4.31280784814909e+16,3.3554628008493668e+16,2.6113359748642936e+16,3570230635319513.0,744183553503876.6,8211113847372635.0,136413329983563.53
3483,6.096266271328303,1.2389116401669234e+16,9.169817958722328e+18,7.358533205108314e+16,3.16349499354103e+20,4.830491026288496e+17,1.6268499578655907e+17,1.132642763623565e+17,8.799400056957739e+16,7.13620263121482e+16,5.3925987832783304e+16,4.312807649122979e+16,3.3554626287859092e+16,2.6113358317450444e+16,3570233166828489.0,744183474637814.8,8211113076249458.0,136413316046527.78
3484,6.096265817356797,1.2389118096682598e+16,9.169831330190146e+18,7.358533313166122e+16,3.1634949263994814e+20,4.83049146461604e+17,1.6268499524907165e+17,1.13264273970781e+17,8.799399786702867e+16,7.13620234191737e+16,5.392598552277413e+16,4.312807450148837e+16,3.3554624567673856e+16,2.611335688663172e+16,3570235697675787.5,744183395792380.0,8211112305327572.0,136413302113142.98
3485,6.096265363504252,1.2389119791252632e+16,9.169844698164155e+18,7.35853342119622e+16,3.1634948592754767e+20,4.830491902828831e+17,1.6268499471172298e+17,1.1326427157982963e+17,8.799399516518554e+16,7.136202052695466e+16,5.392598321336817e+16,4.3128072512266536e+16,3.355462284793788e+16,2.6113355456186696e+16,3570238227861532.0,744183316967568.9,8211111534606939.0,136413288183408.42
3486,6.096264909770646,1.2389121485379422e+16,9.169858062645008e+18,7.358533529198616e+16,3.1634947921690126e+20,4.8304923409268915e+17,1.6268499417451302e+17,1.1326426918950232e+17,8.799399246404787e+16,7.136201763549094e+16,5.39259809045653e+16,4.312807052356421e+16,3.355462112865108e+16,2.6113354026115304e+16,3570240757385846.5,744183238163377.2,8211110764087522.0,136413274257323.44
3487,6.096264456155956,1.238912317906305e+16,9.169871423633357e+18,7.358533637173312e+16,3.1634947250800846e+20,4.830492778910244e+17,1.6268499363744176e+17,1.1326426679979893e+17,8.799398976361552e+16,7.136201474478242e+16,5.392597859636542e+16,4.312806853538127e+16,3.355461940981337e+16,2.6113352596417476e+16,3570243286248853.5,744183159379801.4,8211109993769283.0,136413260334887.34
3488,6.09626400266016,1.23891248723036e+16,9.16988478112985e+18,7.358533745120314e+16,3.163494658008691e+20,4.8304932167789094e+17,1.626849931005092e+17,1.1326426441071936e+17,8.799398706388835e+16,7.1362011854828936e+16,5.392597628876842e+16,4.312806654771764e+16,3.3554617691424668e+16,2.611335116709314e+16,3570245814450677.5,744183080616837.2,8211109223652186.0,136413246416099.44
3489,6.096263549283235,1.2389126565101154e+16,9.16989813513514e+18,7.358533853039627e+16,3.163494590954827e+20,4.830493654532908e+17,1.6268499256371523e+17,1.1326426202226349e+17,8.799398436486626e+16,7.136200896563036e+16,5.392597398177418e+16,4.312806456057322e+16,3.3554615973484892e+16,2.611334973814223e+16,3570248341991441.0,744183001874481.2,8211108453736192.0,136413232500959.05
3490,6.096263096025159,1.2389128257455798e+16,9.169911485649879e+18,7.358533960931256e+16,3.163494523918491e+20,4.830494092172263e+17,1.6268499202705994e+17,1.1326425963443118e+17,8.79939816665491e+16,7.136200607718655e+16,5.392597167538258e+16,4.31280625739479e+16,3.3554614255993956e+16,2.611334830956467e+16,3570250868871268.5,744182923152729.2,8211107684021266.0,136413218589465.48
3491,6.09626264288591,1.2389129949367612e+16,9.169924832674717e+18,7.358534068795206e+16,3.163494456899679e+20,4.830494529696995e+17,1.626849914905432e+17,1.1326425724722235e+17,8.799397896893674e+16,7.136200318949736e+16,5.392596936959353e+16,4.312806058784161e+16,3.3554612538951776e+16,2.6113346881360404e+16,3570253395090283.5,744182844451577.5,8211106914507369.0,136413204681618.05
3492,6.096262189865465,1.2389131640836678e+16,9.169938176210305e+18,7.358534176631483e+16,3.163494389898387e+20,4.830494967107126e+17,1.6268499095416502e+17,1.1326425486063685e+17,8.799397627202904e+16,7.1362000302562664e+16,5.39259670644069e+16,4.312805860225422e+16,3.3554610822358276e+16,2.6113345453529348e+16,3570255920648608.5,744182765771022.1,8211106145194464.0,136413190777416.06
