,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
2415,6.233222219943785,1.1892574041008286e+16,5.105503426336205e+18,7.297273211219726e+16,3.184288613810321e+20,4.5138918832828576e+17,1.537485494630141e+17,1.0914293629338664e+17,8.603859897820544e+16,7.0637119531304504e+16,5.3757317608565096e+16,4.324528429629801e+16,3.3807495679670988e+16,2.6405911778801096e+16,2786748416434783.5,769405459285919.8,8462597305153427.0,126177139865844.38
2416,6.2331931379245535,1.1892677380782752e+16,5.106388567897381e+18,7.297340912563542e+16,3.184283587030737e+20,4.5141868669862976e+17,1.5376161561151117e+17,1.0915020845967022e+17,8.604295941604578e+16,7.063971526009165e+16,5.375877020998584e+16,4.324611139998018e+16,3.380794978205676e+16,2.640614281041768e+16,2786929005590527.5,769400227693158.9,8462542259322567.0,126194111823502.4
2417,6.23316406254207,1.1892780695847812e+16,5.107273520862681e+18,7.29740847371423e+16,3.184278562043104e+20,4.5144814768178675e+17,1.537746641075901e+17,1.091574698340532e+17,8.60473127445732e+16,7.0642306315760584e+16,5.376021994020566e+16,4.324693667302398e+16,3.3808402731990824e+16,2.640637313297018e+16,2787109537587424.5,769394996878072.2,8462487225874314.0,126211064492000.1
2418,6.233134993793735,1.189288398620867e+16,5.108158285270505e+18,7.297475894883978e+16,3.184273538846143e+20,4.514775713226365e+17,1.5378769497261184e+17,1.091647204306865e+17,8.605165897376322e+16,7.064489270520245e+16,5.376166680361726e+16,4.3247760118310136e+16,3.380885453132156e+16,2.6406602747608692e+16,2787290012465515.5,769389766841084.8,8462432204792176.0,126227997890105.69
2419,6.233105931676989,1.1892987251870396e+16,5.109042861159264e+18,7.297543176283626e+16,3.1842685174385797e+20,4.5150695766597037e+17,1.5380070822791254e+17,1.0917196026369946e+17,8.605599811357168e+16,7.064747443529124e+16,5.37631108046001e+16,4.324858173870883e+16,3.3809305181889332e+16,2.640683165547729e+16,2787470430264665.5,769384537582628.1,8462377196059692.0,126244912036589.95
2420,6.233076876189309,1.1893090492837902e+16,5.109927248567369e+18,7.297610318122669e+16,3.1842634978191396e+20,4.515363067564914e+17,1.5381370389480374e+17,1.0917918934719968e+17,8.606033017393472e+16,7.0650051512883864e+16,5.3764551947520376e+16,4.324940153707977e+16,3.3809754685526508e+16,2.640705985771401e+16,2787650791024559.5,769379309103141.8,8462322199660426.0,126261806950226.1
2421,6.233047827328207,1.1893193709115958e+16,5.110811447533238e+18,7.297677320609259e+16,3.184258479986551e+20,4.515656186388143e+17,1.5382668199457222e+17,1.0918640769527315e+17,8.606465516476882e+16,7.06526239448201e+16,5.376599023673106e+16,4.32502195162721e+16,3.3810203044057428e+16,2.640728735545088e+16,2787831094784706.5,769374081403071.6,8462267215577969.0,126278682649789.9
2422,6.233018785091233,1.1893296900709184e+16,5.111695458095299e+18,7.2977441839502e+16,3.184253463939544e+20,4.515948933574653e+17,1.5383964254848016e+17,1.091936153219842e+17,8.606897309597074e+16,7.0655191737922584e+16,5.376742567657188e+16,4.325103567912447e+16,3.3810650259298436e+16,2.6407514149813896e+16,2788011341584435.0,769368854482871.2,8462212243795938.0,126295539154059.56
2423,6.2329897494759745,1.1893400067622064e+16,5.112579280291978e+18,7.297810908350947e+16,3.184248449676852e+20,4.516241309568822e+17,1.53852585577765e+17,1.0920081224137542e+17,8.607328397741762e+16,7.065775489899686e+16,5.376885827136931e+16,4.325185002846502e+16,3.381109633305786e+16,2.6407740241923024e+16,2788191531462898.0,769363628343001.1,8462157284297980.0,126312376481815.84
2424,6.232960720480054,1.1893503209858922e+16,5.113462914161714e+18,7.297877494015616e+16,3.1842434371972104e+20,4.516533314814145e+17,1.538655111036394e+17,1.0920799846746782e+17,8.607758781896683e+16,7.066031343483136e+16,5.377028802543659e+16,4.325266256711135e+16,3.3811541267136016e+16,2.6407965632892216e+16,2788371664459069.0,769358402983929.0,8462102337067765.0,126329194651841.92
2425,6.232931698101131,1.1893606327423944e+16,5.114346359742946e+18,7.297943941146973e+16,3.1842384264993545e+20,4.516824949753233e+17,1.538784191472915e+17,1.092151740142607e+17,8.608188463045611e+16,7.066286735219735e+16,5.377171494307372e+16,4.325347329787057e+16,3.3811985063325212e+16,2.640819032382939e+16,2788551740611744.0,769353178406129.5,8462047402088994.0,126345993682923.53
2426,6.232902682336904,1.1893709420321168e+16,5.115229617074122e+18,7.298010249946438e+16,3.184233417582025e+20,4.517116214827814e+17,1.538913097298846e+17,1.0922233889573173e+17,8.608617442170352e+16,7.066541665784902e+16,5.377313902856744e+16,4.325428222353923e+16,3.381242772340975e+16,2.640841431583645e+16,2788731759959540.5,769347954610084.9,8461992479345391.0,126362773593848.89
